1339383615713644544 2020-12-17 09:35:13 +0800 <jrcarter2010>  https://t.co/Rnm9pcOslO
1339378926523723776 2020-12-17 09:16:35 +0800 <jrcarter2010> Judicial Watch - U.S. City May Pass “Duress Legislation” to Give Criminals “Poverty Defense” -  https://t.co/ABCoeinNDB
1338861723420295168 2020-12-15 23:01:24 +0800 <jrcarter2010> Judicial Watch - U.S. Pays Costa Rica to Hire More Female Cops as Police at Home Get Defunded -  https://t.co/HmZfWw9hte
1338540762183716864 2020-12-15 01:46:01 +0800 <jrcarter2010> Hunter Biden email shows $400G unreported income from Burisma, states he needs to 'amend' tax returns  https://t.co/SmeDtpbQ49 #FoxNews
1336352703191060484 2020-12-09 00:51:27 +0800 <jrcarter2010> Firm co-owned by Ilhan Omar’s husband received $500G in COVID-19 bailout on top of millions from her campaign  https://t.co/K7X5F1zZlE #FoxNews
1334872885261897730 2020-12-04 22:51:11 +0800 <jrcarter2010>  https://t.co/AeYbJmg1nC
1334230904764510210 2020-12-03 04:20:11 +0800 <jrcarter2010> Judicial Watch - Three Members of Congress Star in Forum with Terror Financiers, Anti-Semites -  https://t.co/X9HaSbPdGS
1330949308938678280 2020-11-24 03:00:17 +0800 <jrcarter2010> Biden’s gun control plan would impose strict regulations on owners of assault-style rifles  https://t.co/NKfHTA8V3f
1329800438082899971 2020-11-20 22:55:05 +0800 <jrcarter2010>  https://t.co/FgApVV0NMG
1327663444137562114 2020-11-15 01:23:26 +0800 <jrcarter2010> Most mail and provisional ballots got counted in past U.S. elections – but many did not  https://t.co/YASIqaBlRY
1326166500991000577 2020-11-10 22:15:07 +0800 <jrcarter2010> Judicial Watch - The New Biden-Burisma Documents -  https://t.co/qg3wodz9w9
1325463418271363073 2020-11-08 23:41:19 +0800 <jrcarter2010> How a Biden presidency could change your tax bill  https://t.co/CcNg6CXBwB #FoxBusiness
1325139884303130626 2020-11-08 02:15:42 +0800 <jrcarter2010> If this holds it's sad that all the investigations started under #Trump will end without closure.  #Hillary and #HunterBiden to name only two.
1308772646826504194 2020-09-23 22:18:09 +0800 <jrcarter2010> A little history lesson   https://t.co/tKqhAdtJbd
1304980167501049859 2020-09-13 11:08:11 +0800 <jrcarter2010> Guess this falls under Aggie humor.  https://t.co/IUKYIW2mm0
1303783661989433344 2020-09-10 03:53:42 +0800 <jrcarter2010> MOOOVE B*TCH! Commentary makes footage of Antifa rioter getting BLASTED with a cone the funniest damn thing you’ll see today (watch)  https://t.co/VJ7mMKBca7 via @twitchyteam
1303061046584901640 2020-09-08 04:02:17 +0800 <jrcarter2010> Family Guy Nails The Corrupt Media Hypocrisy on Black-on-Black Crime  https://t.co/Pb9kPPbMiG
1300955740774035456 2020-09-02 08:36:33 +0800 <jrcarter2010>  https://t.co/aHwQePvzqf
1300953355037048832 2020-09-02 08:27:05 +0800 <jrcarter2010> Pelosi used shuttered San Francisco hair salon for blow-out, owner calls it 'slap in the face'  https://t.co/TQy5zV0hSe #FoxNews
