1344011706725519361 2020-12-30 04:05:36 +0800 <wMNhyaRVsIOCywu> @GKesarios τα συλλυπητηρια μου να ζησετε για να την θυμαστε.
1343787495318700033 2020-12-29 13:14:39 +0800 <wMNhyaRVsIOCywu> ΠΕΡΙ ΕΝΩΣΕΩΣ ΤΟΥ "ΧΩΡΟΥ"  https://t.co/a6Eu1pWYp6 μέσω @korina13
1343774847676141568 2020-12-29 12:24:24 +0800 <wMNhyaRVsIOCywu> Άγνωστες μορφές του Ελληνισμού: Κινέας ο Θεσσαλός, ο σύμβουλος του βασιλιά Πύρρου  https://t.co/IhpjSN1BIo
1343773615150522373 2020-12-29 12:19:30 +0800 <wMNhyaRVsIOCywu> Η αναγκαιότητα του Λαϊκού Εθνικισμού στην Ελληνική Κοινωνία  https://t.co/YXVx5WEL5f
1343770472039784450 2020-12-29 12:07:01 +0800 <wMNhyaRVsIOCywu> Ο Μύθος του Πλάτωνα και το δαχτυλίδι των Χόμπιτ  https://t.co/boEcVmWtZ4
1343769496058785796 2020-12-29 12:03:08 +0800 <wMNhyaRVsIOCywu> Του Ν.Γ. Μιχαλολιάκου: Η 21η Απριλίου και η χρεοκοπία της “δημοκρατίας”  https://t.co/CFBBXHSjRm
1343768696423120896 2020-12-29 11:59:57 +0800 <wMNhyaRVsIOCywu> Ν.Γ. ΜΙΧΑΛΟΛΙΑΚΟΣ: Η ΠΑΓΚΟΣΜΙΑ ΤΥΡΑΝΝΙΑ ΕΙΝΑΙ ΕΔΩ! -  https://t.co/j3DIn3lPaL  https://t.co/fEhHlg3kJ5
1343767751333183489 2020-12-29 11:56:12 +0800 <wMNhyaRVsIOCywu> Γράφει ο Ν.Γ. Μιχαλολιάκος: ΕΜΒΟΛΙΑ ΚΑΙ ΓΙΑΛΤΑ -  https://t.co/j3DIn3lPaL  https://t.co/34IvGv6QhJ
1343426053218447361 2020-12-28 13:18:25 +0800 <wMNhyaRVsIOCywu> Η ΑΝΟΧΗ ΣΤΟΥΣ «ΣΥΝΩΣΤΙΣΜΟΥΣ», ΟΙ ΚΡΑΥΓΕΣ ΤΩΝ ΚΑΘΕΣΤΩΤΙΚΩΝ ΜΜΕ, ΤΟ «ΤΡΙΤΟ ΚΥΜΑ» ΚΑΙ ΟΙ… «ΑΝΕΥΘΥΝΟΙ ΠΟΛΙΤΕΣ»!  https://t.co/T265EUORm2 μέσω @korina13
1343425351180025858 2020-12-28 13:15:38 +0800 <wMNhyaRVsIOCywu> ΔΟΥΛΕΙΑ ΔΕΝ ΕΙΧΕ Ο ΔΙΑΒΟΛΟΣ…  https://t.co/27gT4EC3RN μέσω @korina13
1343415105975951360 2020-12-28 12:34:55 +0800 <wMNhyaRVsIOCywu> Το σχέδιο Coudenhove – Kalergi: Η Γενοκτονία των Λαών της Ευρώπης  https://t.co/WOxIArCPIl
1343412171531808768 2020-12-28 12:23:15 +0800 <wMNhyaRVsIOCywu> 27 Δεκεμβρίου 527 μ.Χ. – Εγκαίνια της Αγιά Σοφιάς  https://t.co/xh99tlog3V
1343411327969144833 2020-12-28 12:19:54 +0800 <wMNhyaRVsIOCywu> Σαν σήμερα, 27 Δεκεμβρίου 1947, το ΚΚΕ με νόμο κηρύσσεται παράνομο  https://t.co/rqmXZjFoqw
1343411010389082113 2020-12-28 12:18:38 +0800 <wMNhyaRVsIOCywu> Τράγκας: Ουδείς πρόκειται να πιστέψει ότι Μητσοτάκης-Μαρέβα θα κάνουν εμβόλιο  https://t.co/2ygnQLMLTH
1343409757844090881 2020-12-28 12:13:40 +0800 <wMNhyaRVsIOCywu> Ανδρέας Επιφανίου αγωνιστής της ΕΟΚΑ - Δολοφονήθηκε άνανδρα από κομμουνιστές  https://t.co/GnMvAnLkoe
1343409279785689091 2020-12-28 12:11:46 +0800 <wMNhyaRVsIOCywu> Οι πτυχές της παγκοσμιοποίησης  https://t.co/QWDxrMruzv
1343056834941358080 2020-12-27 12:51:16 +0800 <wMNhyaRVsIOCywu> ΟΤΑΝ ΟΙ ΚΟΜΜΟΥΝΙΣΤΕΣ ΕΠΙΧΕΙΡΗΣΑΝ ΝΑ ΑΝΤΙΚΑΤΑΣΤΗΣΟΥΝ ΤΑ ΧΡΙΣΤΟΥΓΕΝΝΑ ΜΕ ΤΑ… ΣΤΑΛΙΝΟΥΓΕΝΝΑ  https://t.co/remIE8Iuhg μέσω @korina13
1343043754840764416 2020-12-27 11:59:18 +0800 <wMNhyaRVsIOCywu> Κωστής Παλαμάς: Να ‘μουν του σταύλου έν’ άχυρο  https://t.co/ay3sfeVVSZ
1343043478234820608 2020-12-27 11:58:12 +0800 <wMNhyaRVsIOCywu> «Αντι-αστικά»  https://t.co/8YZfw1uzKy
1343041398640156672 2020-12-27 11:49:56 +0800 <wMNhyaRVsIOCywu> “Νίψον ανομήματα μη μόναν όψιν”  https://t.co/vsQpot4TAZ
1343040535544659968 2020-12-27 11:46:30 +0800 <wMNhyaRVsIOCywu> Σαν σήμερα γεννήθηκε ο μεγαλύτερος σφαγέας κομμουνιστής όλων των εποχών δικτάτορας στην Κίνα  https://t.co/MU7EAhaNtr
1343040170547933185 2020-12-27 11:45:03 +0800 <wMNhyaRVsIOCywu> Βαρύ πένθος για Συριζαίους και κουκουέδες: Σαν σήμερα καταρρέει η Σοβιετική Ένωση (Φωτορεπορτάζ)  https://t.co/jbr28dluNb
1343039512365162496 2020-12-27 11:42:26 +0800 <wMNhyaRVsIOCywu> Χριστουγενιάτικη τραγωδία στο Λουτράκι: Αυτοκτόνησε 36χρονος επιχειρηματίας  https://t.co/7IbhsDyOv2
1343039126426292226 2020-12-27 11:40:54 +0800 <wMNhyaRVsIOCywu> Τα δακρυσμένα Χριστούγεννα του 1922  https://t.co/7O4npx9E7W
1343038551668219905 2020-12-27 11:38:37 +0800 <wMNhyaRVsIOCywu> Ο "ΚΟΚΚΙΝΟΣ ΔΕΚΕΜΒΡΗΣ" ΤΗΣ ΕΣΣΔ... ΔΕΚΕΜΒΡΙΟ ΤΟΥ 1922 ΓΕΝΝΗΘΗΚΕ ΔΕΚΕΜΒΡΙΟ ΤΟΥ 1991 ΨΟΦΗΣΕ!  https://t.co/tDCCj7r2Iz
1343025808730959873 2020-12-27 10:47:59 +0800 <wMNhyaRVsIOCywu> Σπουδαία κίνηση από τον Παναθηναϊκό που εντάσσει στο τμήμα ΑμεΑ την Άσπα  https://t.co/jpJlgwta0L
1342687271275929600 2020-12-26 12:22:46 +0800 <wMNhyaRVsIOCywu> Τον σταυραετό ποιος μπορεί να τον σκλαβώση;  https://t.co/gUKMKBqH0T
1342687072323297282 2020-12-26 12:21:58 +0800 <wMNhyaRVsIOCywu> Αναδημοσίευση: Οι αρχιτέκτονες του ψεύδους, η Χρυσή Αυγή και μια βράβευση – Άρθρο του Ν.Γ. Μιχαλολιάκου  https://t.co/HvyRPzL1iD
1342684956481482752 2020-12-26 12:13:34 +0800 <wMNhyaRVsIOCywu> 25 Δεκεμβρίου 1947: Η Μάχη της Κόνιτσας  https://t.co/t12SOMA1Hy
1342682448757485574 2020-12-26 12:03:36 +0800 <wMNhyaRVsIOCywu> Άγνωστες μορφές του Ελληνισμού: Σήφης Κωνσταντουδάκης (Σήφακας)  https://t.co/eSFUTwF2J8
