1344017996365385732 2020-12-30 04:30:35 +0800 <GrootKo> VVD-dictatuur . . .  https://t.co/8Rt7wUPNqk via @EJBron2
1344017816610078720 2020-12-30 04:29:52 +0800 <GrootKo> Joe Biden loog over ontmoeting met Sovjetleider Leonid Breznjev  https://t.co/98OM1I9WlH via @TPOnl
1344017141708836866 2020-12-30 04:27:11 +0800 <GrootKo> Coronavaccinaties: een goudmijn voor artsen  https://t.co/vFcEZ3i9og via @Frontnieuws
1343981500849655809 2020-12-30 02:05:34 +0800 <GrootKo> Toeslagenaffaire dendert voort: woningcorporatie dreigt gedupeerde uit huis te zetten  https://t.co/8tDJ9MLado
1343981338593026049 2020-12-30 02:04:55 +0800 <GrootKo> De Jonge onderzoekt inzet van digitaal 'coronapaspoort'  https://t.co/7XYjHUv6xi
1343979511440928770 2020-12-30 01:57:40 +0800 <GrootKo> Bill Gates maakt zich zorgen over de lage Covid-19 cijfers in Afrika  https://t.co/L3AmdsrqjJ via @Frontnieuws
1343960534551588865 2020-12-30 00:42:15 +0800 <GrootKo> Tuigislamisten timmeren andere moslim in elkaar vanwege eten kerstmaaltijd: ‘Hoerenzoon van witte mensen!’  https://t.co/IlVe9em2nR
1343911144432533505 2020-12-29 21:26:00 +0800 <GrootKo> Farid Azarkan: ‘het ontstaan van Denk is een nederlaag voor Nederland’  https://t.co/5ilft0zpTB via @TPOnl
1343899544975790081 2020-12-29 20:39:54 +0800 <GrootKo> Ondertussen . . .  https://t.co/tjykkTWGZT via @EJBron2
1343899362959757312 2020-12-29 20:39:11 +0800 <GrootKo> Spanje: Illegale migrant uit Marokko vernietigt auto van een vrouw die weigerde hem geld te geven  https://t.co/U1uYqCRpH1
1343898672954822656 2020-12-29 20:36:26 +0800 <GrootKo> Faalminister De Jonge bewees geldgraaier Lucille Werner vriendendienst door haar op CDA-lijst te zetten  https://t.co/9q9etRyzua
1343848099912032257 2020-12-29 17:15:29 +0800 <GrootKo> Incompetent haatkabinet offert ouderen op in coronacrisis: ‘Minder douchen en geen dagbesteding!’  https://t.co/MLRXkd25HE
1343846628759908352 2020-12-29 17:09:38 +0800 <GrootKo> @keizer70 @EJBron2 Jammer van zo’n prachtige stad.
1343846409049616384 2020-12-29 17:08:46 +0800 <GrootKo> Dode gevonden na woningoverval in Oud Ade  https://t.co/9Wbv159awC via @Telegraaf
1343836280023638019 2020-12-29 16:28:31 +0800 <GrootKo> Succesvolle Berlijnse clancriminelen: € 135,5 miljoen “winst” in één enkel jaar  https://t.co/8jpyS40mEl via @EJBron2
1343835528563740675 2020-12-29 16:25:31 +0800 <GrootKo> Jan Marijnissen: Gastarbeiders werden niet gehaald omdat Nederlanders geen smerig werk wilden doen  https://t.co/ttG4ZDWOsb via @DissidentNL
1343831970611138560 2020-12-29 16:11:23 +0800 <GrootKo> Spanje gaat geheime databank aanleggen van mensen die Covid-vaccin weigeren en delen met de EU-lidstaten  https://t.co/2r33OreCpz via @Frontnieuws
1343831585125261312 2020-12-29 16:09:51 +0800 <GrootKo> Rutte onder vuur: 'Grootste aanval op democratische rechtsstaat komt van onze premier'  https://t.co/MuyxNT4jr6
1343827903730098176 2020-12-29 15:55:14 +0800 <GrootKo> Een ‘ordinaire machtsgreep’ van de EU: Tweede Kamer buitenspel bij brexitdeal  https://t.co/AEXvQVhWqQ via @JDreport
1343697910173720576 2020-12-29 07:18:41 +0800 <GrootKo> @de_rekenmeester @ArnoWellens Of 100 miljard gratis geld aan zuid Europa weggeven.
1343696632089604103 2020-12-29 07:13:36 +0800 <GrootKo> Twentse bejaarden worden mogelijk minder gewassen wegens tekort aan zorgpersoneel  https://t.co/IeRmMYb7WS via @TPOnl
1343695671950508034 2020-12-29 07:09:47 +0800 <GrootKo> Duitsers durven vaccins niet te gebruiken: ‘1000 doses mogelijk niet goed gekoeld tijdens transport’  https://t.co/qPfJBKm9Yv
1343676766473363468 2020-12-29 05:54:40 +0800 <GrootKo> Niemand in de bus greep in – ondanks het wanhopige geschreeuw van het meisje  https://t.co/zb3WvAWX33 via @Frontnieuws
1343634914407837696 2020-12-29 03:08:21 +0800 <GrootKo> Gemeente vordert €10.000 aan uitkering terug wegens wekelijkse tas boodschappen van moeder  https://t.co/HOZgsxO1Np
1343634681166782468 2020-12-29 03:07:26 +0800 <GrootKo> Shula Rijxman (D66): 'Niks mis met Kaag-docu NPO'  https://t.co/VGo0ja5gsZ
1343603304010555392 2020-12-29 01:02:45 +0800 <GrootKo> ‘NPO-geknuffel met stuk stront Ismail Ilgun is walgelijk’  https://t.co/mmKKM7wmLV
1343602031190298625 2020-12-29 00:57:41 +0800 <GrootKo> Nederland, azc-luilekkerland: overheid gaat massaal hotels en cruiseschepen afhuren om meer migranten op te vangen  https://t.co/O8w9XX4K0R
1343600675809357825 2020-12-29 00:52:18 +0800 <GrootKo> Italië: Corona-risico in het land van herkomst is een geldige reden om humanitaire bescherming te verlenen aan afgewezen ‘asielzoekers’  https://t.co/pjZoLdNqqX via @DissidentNL
1343600507798122496 2020-12-29 00:51:38 +0800 <GrootKo> Volk tegen WimLex: 'Rot op naar Griekenland'  https://t.co/M0ah0AJ7S4
1343595210798981124 2020-12-29 00:30:35 +0800 <GrootKo> Ruzie loopt uit de hand: twee mensen gewond bij steekpartij in Bilthoven  https://t.co/ewPUi4h9iI
1343595053172875266 2020-12-29 00:29:58 +0800 <GrootKo> Peilingwatch – Vertrouwen in de koning onderuit  https://t.co/DU2c2ZB2N9 via @TPOnl
1343594900214976512 2020-12-29 00:29:21 +0800 <GrootKo> NPO-baas Shula Rijxman: ‘Ik ga zeker niets doen aan Sigrid Kaag-documentaire.’  https://t.co/IC9IODhiSO
1343562473157365760 2020-12-28 22:20:30 +0800 <GrootKo> Dat ‘Wijf van die Lange’ probeerde onze aseksuele premier stuk te neuken – Wat dacht ze wel niet  https://t.co/d0TAuSw2Z7 via @DissidentNL
1343561690022105088 2020-12-28 22:17:23 +0800 <GrootKo> Hoe is het eigenlijk met... Hugo de Jonge?  https://t.co/EyfgVXVlCD
1343489592394190848 2020-12-28 17:30:54 +0800 <GrootKo> Gezochte fietser die kniestoot gaf aan meisje (5) neemt contact op met de ouders  https://t.co/2u4RYcKmNE
1343489308137820162 2020-12-28 17:29:46 +0800 <GrootKo> Auto's in Rotterdam-Schiemond in brand gestoken - #rijnmond  https://t.co/Rn53hzK9so
1343477334540693504 2020-12-28 16:42:11 +0800 <GrootKo> Imam spreekt duidelijke taal: “Het is Allah´s plan om Europa te islamiseren”  https://t.co/IdIGceOCpk via @EJBron2
1343472262071144449 2020-12-28 16:22:02 +0800 <GrootKo> Rumoer binnen PvdA over positie Asscher👇  https://t.co/LarL4UR1PR
1343326878854217728 2020-12-28 06:44:20 +0800 <GrootKo> Koninklijke Horeca Nederland: “Er dreigt een BLOEDBAD, kwart horecazaken staat binnenkort op omvallen”  https://t.co/sm58OjL5wK
1343274712282050561 2020-12-28 03:17:02 +0800 <GrootKo> Horecatycoon: Er moet keihard worden ingegrepen op het Binnenhof  https://t.co/cEAaQ6XwNZ
1343255684356460545 2020-12-28 02:01:26 +0800 <GrootKo> Staartje toeslagenaffaire: pleegde top Financiën meineed en was ‘verdwenen’ explosieve memo bekend?  https://t.co/k2ZqStlSui
1343235488308719618 2020-12-28 00:41:11 +0800 <GrootKo> ‘Discussieprogramma’ Buitenhof nodigde in 2020 continu PvdA’ers, D66’ers   https://t.co/IIH5ldZubT
