1344063760252678152 2020-12-30 07:32:26 +0800 <rdp24k> After 12-Year Run, Obama Falls to Donald Trump as Most Admired Man  https://t.co/ihieYwhaNe via @BreitbartNews
1344061503465533441 2020-12-30 07:23:28 +0800 <rdp24k> Bernie To Oppose McConnell’s Attempt to Override Trump’s Veto of Defense Bill  https://t.co/a9OJTKi4SH via @Buck Sexton Show
1344059082324533249 2020-12-30 07:13:51 +0800 <rdp24k> Louie Gohmert, Kelli Ward, others try to overturn election by suing … Mike Pence?  https://t.co/D9mKCEcTAK
1344052677139976192 2020-12-30 06:48:24 +0800 <rdp24k> Are House Democrats prepared to steal two elections?  https://t.co/acqQL3ZoAG
1344047175353958401 2020-12-30 06:26:32 +0800 <rdp24k> Schumer Gets Lost, Fumbles, and Even Says &amp;quot;Mr. Madam President&amp;quot; From Sen. Floor  https://t.co/oJmdBvJAL5
1344021348499283969 2020-12-30 04:43:54 +0800 <rdp24k>  https://t.co/jew9bUoc9z
1344014312453660673 2020-12-30 04:15:57 +0800 <rdp24k>  https://t.co/9cFWPflzul
1343992565926912001 2020-12-30 02:49:32 +0800 <rdp24k>  https://t.co/Tj2n1b8xGx
1343977977625923590 2020-12-30 01:51:34 +0800 <rdp24k>  https://t.co/gbcLd1dquc
1343976516905029635 2020-12-30 01:45:46 +0800 <rdp24k>  https://t.co/Yp9w74hlZL
1343972869076869122 2020-12-30 01:31:16 +0800 <rdp24k> A Fed Judge Just Ordered Two Georgia Counties To Stop Voter Roll Cleanup « Tammy Bruce  https://t.co/CBpMgpibbn
1343934240308789248 2020-12-29 22:57:46 +0800 <rdp24k>  https://t.co/Nbc4HLBp6h
1343924901326036992 2020-12-29 22:20:40 +0800 <rdp24k> Newly recorded COVID-19 cases and deaths are falling in the U.S., but it's not clear how long those hopeful trends will continue  https://t.co/Q2ArG8BJ2v via @reason
1343923002770075649 2020-12-29 22:13:07 +0800 <rdp24k> Coast Guard seizes $165 million worth of cocaine inside submarine  https://t.co/JwlTEJH6Xu
1343777198633857024 2020-12-29 12:33:44 +0800 <rdp24k> Texas GOP Congressman sues Pence in bid to overturn Biden win  https://t.co/Rf9OvET5xc
1343776917560975360 2020-12-29 12:32:37 +0800 <rdp24k> PA Republican lawmakers: Analysis finds presidential election numbers don't add up   https://t.co/hp8KueBKG4
1343749071018881024 2020-12-29 10:41:58 +0800 <rdp24k> What's This About? On January 6th, After Overseeing Declaration of the Winner of the 2020 Election, VP Pence Will Jump on a Plane and Fly Overseas  https://t.co/JSDmnwX6MP via @gatewaypundit
1343746230254522369 2020-12-29 10:30:41 +0800 <rdp24k> Gov't Waste Report: $6.9 Million for 'Smart Toilet' That Identifies Your 'Analprint'  https://t.co/k5LJKHRCG5
1343735820977655808 2020-12-29 09:49:19 +0800 <rdp24k>  https://t.co/uo7VCITGUO
1343733575280177153 2020-12-29 09:40:24 +0800 <rdp24k> Californians flee state in numbers so great it is projected to lose House seat and electoral vote for first time  https://t.co/S1HhkYicVS
1343692446530732041 2020-12-29 06:56:58 +0800 <rdp24k> Alec Baldwin’s wife ‘Hilaria’ keeps digging after getting royally busted for allegedly — how you say in English? — lying about Spanish heritage [videos]  https://t.co/b5KDej7GD7 via @twitchyteam
1343669643911815176 2020-12-29 05:26:21 +0800 <rdp24k> MAX IRONY: CNN's Fat, Dumb, and Bald Guy interviews Jake Tapper about the futility of interviewing big fat liars.  https://t.co/607MIkTyKo
1343658446835642369 2020-12-29 04:41:52 +0800 <rdp24k> One 25 Million Dollar Lawsuit Could Reveal Barack Obama’s Most Deadly Secret  https://t.co/FuoCD1fagh
1343644960835461121 2020-12-29 03:48:17 +0800 <rdp24k>  https://t.co/grflmhISHf
1343644835593527303 2020-12-29 03:47:47 +0800 <rdp24k>  https://t.co/6EIj3zvcUk
1343644682744721408 2020-12-29 03:47:10 +0800 <rdp24k>  https://t.co/YXKt0W8fub
1343644442834726916 2020-12-29 03:46:13 +0800 <rdp24k>  https://t.co/XbUStwRrNh
1343644197342031875 2020-12-29 03:45:15 +0800 <rdp24k>  https://t.co/axl4t7CHaT
1343641399376404481 2020-12-29 03:34:07 +0800 <rdp24k> Ex-Democrat Turned Trump Advisor: 379,000 Possibly Illegal Ballots in Michigan Alone via @WestJournalism  https://t.co/cq06f10LjJ
1343633155157336065 2020-12-29 03:01:22 +0800 <rdp24k> 'I am a white girl,' Hilaria Baldwin responds to doubts about Spanish heritage  https://t.co/PtJuBg3eeM
1343615704956809216 2020-12-29 01:52:01 +0800 <rdp24k> Nancy Pelosi May Not Have Votes To Stay Speaker In Next Congress After Losing More Dems In Embarrassing Rejection  https://t.co/62cHHDS6vc
1343609437714571267 2020-12-29 01:27:07 +0800 <rdp24k> Trump To Use Impoundment Control Act To Gut ‘Wasteful Spending  https://t.co/Admmp7t1ER
1343608559385407498 2020-12-29 01:23:38 +0800 <rdp24k> President Trump Signs Coronavirus Relief Bill Invoking 1974 Impoundment Control Act to Demand “Rescissions” | Opinion - Conservative | Before It's News  https://t.co/nhXRPRLUnd
1343570046182944768 2020-12-28 22:50:35 +0800 <rdp24k> [VIDEO] This Memo Trump Signed is his “Ace Card” Against The Deep State  https://t.co/u7EbPAkgvt via @WayneDupreeShow
1343562980429070343 2020-12-28 22:22:31 +0800 <rdp24k> Kamala Harris Recalls Childhood Memories of Kwanzaa  https://t.co/5l9E5qjfmQ via @BreitbartNews
1343323232565399552 2020-12-28 06:29:51 +0800 <rdp24k> ‘Here’s My Bill’: Kirstie Alley Has Her Own Plan To Get Stimulus Money To The People Who Need It  https://t.co/Fra1X2iILS via @dailycaller
1343263932576882693 2020-12-28 02:34:12 +0800 <rdp24k> Emma Thompson Calls out Hollywood‘s Sexism: ‘You Get Past 50 and You‘re Invisible‘  https://t.co/17gHbbnUS9 via @BreitbartNews
1343263520612356102 2020-12-28 02:32:34 +0800 <rdp24k>  https://t.co/z5NOIuEwTP
1343255627779465216 2020-12-28 02:01:12 +0800 <rdp24k>  https://t.co/XZspPnlUvq
1343251180651220994 2020-12-28 01:43:32 +0800 <rdp24k> BOMBSHELL on the Nashville bombing!!!  https://t.co/ThvlNwljDK via @YouTube
1343247995442253825 2020-12-28 01:30:53 +0800 <rdp24k>  https://t.co/gW2xJAsV7y
1343247553568120833 2020-12-28 01:29:07 +0800 <rdp24k>  https://t.co/gJW0Cv0Ah2
1343246921738104833 2020-12-28 01:26:37 +0800 <rdp24k>  https://t.co/heZ7wRCmkf
1343246788170567680 2020-12-28 01:26:05 +0800 <rdp24k>  https://t.co/ak2ki7p3ja
1343246211273392134 2020-12-28 01:23:47 +0800 <rdp24k>  https://t.co/LOJd5CSTig
1343246054309965824 2020-12-28 01:23:10 +0800 <rdp24k>  https://t.co/pRimnXlrsN
1343245924068446210 2020-12-28 01:22:39 +0800 <rdp24k>  https://t.co/JoqO2Mg9V1
1343245768321331204 2020-12-28 01:22:02 +0800 <rdp24k>  https://t.co/GKdMp7tllL
1343245535940112385 2020-12-28 01:21:06 +0800 <rdp24k>  https://t.co/Sg5hja40dP
1343245420500299777 2020-12-28 01:20:39 +0800 <rdp24k>  https://t.co/HtruSAwUyk
1343245091721400333 2020-12-28 01:19:20 +0800 <rdp24k>  https://t.co/0RWzLKywSv
1343244860862705668 2020-12-28 01:18:25 +0800 <rdp24k>  https://t.co/nXpq78Vnxo
1343244723482451970 2020-12-28 01:17:53 +0800 <rdp24k>  https://t.co/NFZkv76Y63
1343244348289388544 2020-12-28 01:16:23 +0800 <rdp24k>  https://t.co/tGpKkX2VsA
1343244027777458181 2020-12-28 01:15:07 +0800 <rdp24k>  https://t.co/TK6pHUZogr
