1344032819283075072 2020-12-30 05:29:29 +0800 <albertan48> Kelly Loeffler's conflict of interest is even worse than reported.  https://t.co/m5ULCoy1rY via @MotherJones
1344027500461006848 2020-12-30 05:08:21 +0800 <albertan48> Donald Trump’s remaining supporters inexplicably dress him up like Benedict Arnold  https://t.co/Qmbt89feil via @PalmerReport
1344026556851605505 2020-12-30 05:04:36 +0800 <albertan48> Donald Trump's remaining supporters inexplicably dress him up like Benedict Arnold - Palmer Report  https://t.co/GEIvhZvgCx
1343743490321051649 2020-12-29 10:19:48 +0800 <albertan48> U.S. Vice-President Mike Pence blasts ‘failings’ of Canadian health system | The Star  https://t.co/xdgs1qZQsY
1343743058207100928 2020-12-29 10:18:05 +0800 <albertan48> Mike Pence warns U.S. heading for Canada-style health care if Graham-Cassidy bill fails - National |  https://t.co/cKtC6j22g6  https://t.co/NzBdJ2NPDZ
1343729578502545408 2020-12-29 09:24:31 +0800 <albertan48> Hope for the Best from Canada’s UNDRIP Law. But Expect More of the Same  via @TheTyee  https://t.co/SXEfT0NTL3
1343728978863898625 2020-12-29 09:22:08 +0800 <albertan48> Biden Will Invoke Defense Protection Act to Vaccinate Americans After Trump Fails to Meet Goal  https://t.co/F5xeyNOW8l
1343728467242672128 2020-12-29 09:20:06 +0800 <albertan48> Check out this cartoon  https://t.co/AXFWvRRs1B
1343728232340676608 2020-12-29 09:19:10 +0800 <albertan48> Check out this cartoon  https://t.co/n45FsSLkcZ
1343702112895598592 2020-12-29 07:35:23 +0800 <albertan48> Republicans have reached the Joseph Stalin phase of Donald Trump's downfall - Palmer Report  https://t.co/cwVe5qP9WX
1343387767623929856 2020-12-28 10:46:17 +0800 <albertan48> (16) Home / Twitter  https://t.co/ecwseoRinw
1343352976379764736 2020-12-28 08:28:02 +0800 <albertan48> 27 Free &amp; Low-Budget Marketing Ideas for Any Business  https://t.co/lkXoKeBuoE
1343301272498130944 2020-12-28 05:02:35 +0800 <albertan48> Meet The 50 Doctors, Scientists And Healthcare Entrepreneurs Who Became Pandemic Billionaires In 2020  https://t.co/8Fu4Raw80d
1343299362978349056 2020-12-28 04:55:00 +0800 <albertan48> Donald Trump’s criminal culpability  https://t.co/oFShPiv50W via @PalmerReport
